Fecha y Hora,Lugar del Accidente,Información
10/11/23 23:47,Gas de Guzmán Sayula - Guzman,Accidente en la gas de Guzmán, desviando el tráfico hacia la gas.
11/11/23 1:23,Salada,Pequeño golpe bajando la salada, precaución.
11/11/23 2:32,Guadalajara a Colima,Detenidos, verificar.
11/11/23 3:50,Desconocido,Incidente, precauciones.
11/11/23 5:44,Desconocido,Información de tráfico.
11/11/23 8:04,Puerto,Consulta sobre saturación de entrada al puerto.
11/11/23 8:16,Frente Gas Guzmán,Accidente frente a la gas de Guzmán.
11/11/23 9:13,Pipa Quemando,Pipa en llamas subiendo para Colomos, precauciones.
11/11/23 9:55,Rata de Meillon,Operador durmiendo al volante, precauciones.
11/11/23 10:58,Desconocido,Comida disponible, ubicación no especificada.
